,name,color
0,"Atlanta, GA",#9ACD32
1,"Chicago, IL",#377DB8
2,"Dallas/Fort Worth, TX",#F5DEB3
3,"Los Angeles, CA",#EE82EE
4,"New York, NY",#40E0D0
5,"Denver, CO",#FF6347
6,"Houston, TX",#D8BFD8
7,"Charlotte, NC",#D2B48C
8,"Phoenix, AZ",#4682B4
9,"Las Vegas, NV",#00FF7F
10,"San Francisco, CA",#FFFAFA
11,"Washington, DC",#708090
12,"Seattle, WA",#708090
13,"Minneapolis, MN",#6A5ACD
14,"Orlando, FL",#87CEEB
15,"Detroit, MI",#A0522D
16,"Boston, MA",#FFF5EE
17,"Philadelphia, PA",#2E8B57
18,"Newark, NJ",#F4A460
19,"Baltimore, MD",#FA8072
