,count_full,count_empty
2015-04-13 00:00:00,10.0,7.0
2015-04-13 01:00:00,9.0,8.0
2015-04-13 02:00:00,10.0,7.0
2015-04-13 03:00:00,10.0,6.0
2015-04-13 04:00:00,9.0,6.0
2015-04-13 05:00:00,8.0,9.0
2015-04-13 06:00:00,13.0,16.0
2015-04-13 07:00:00,19.0,23.0
2015-04-13 08:00:00,88.0,97.0
2015-04-13 09:00:00,108.0,108.0
2015-04-13 10:00:00,92.0,81.0
2015-04-13 11:00:00,93.0,69.0
2015-04-13 12:00:00,69.0,77.0
2015-04-13 13:00:00,82.0,61.0
2015-04-13 14:00:00,99.0,59.0
2015-04-13 15:00:00,76.0,41.0
2015-04-13 16:00:00,67.0,59.0
2015-04-13 17:00:00,67.0,85.0
2015-04-13 18:00:00,87.0,132.0
2015-04-13 19:00:00,114.0,121.0
2015-04-13 20:00:00,89.0,90.0
2015-04-13 21:00:00,82.0,46.0
2015-04-13 22:00:00,64.0,33.0
2015-04-13 23:00:00,51.0,23.0
2015-04-14 00:00:00,29.0,6.0
2015-04-14 01:00:00,25.0,4.0
2015-04-14 02:00:00,26.0,4.0
2015-04-14 03:00:00,26.0,3.0
2015-04-14 04:00:00,25.0,3.0
2015-04-14 05:00:00,31.0,4.0
2015-04-14 06:00:00,26.0,6.0
2015-04-14 07:00:00,20.0,10.0
2015-04-14 08:00:00,13.0,11.0
2015-04-14 09:00:00,11.0,8.0
2015-04-14 10:00:00,12.0,2.0
2015-04-14 11:00:00,8.0,3.0
2015-04-14 12:00:00,9.0,1.0
2015-04-14 13:00:00,6.0,1.0
2015-04-14 14:00:00,3.0,2.0
2015-04-14 15:00:00,4.0,1.0
2015-04-14 16:00:00,3.0,0.0
2015-04-14 17:00:00,8.0,2.0
2015-04-14 18:00:00,13.0,6.0
2015-04-14 19:00:00,15.0,9.0
2015-04-14 20:00:00,16.0,8.0
2015-04-14 21:00:00,22.0,11.0
2015-04-14 22:00:00,25.0,11.0
2015-04-14 23:00:00,14.0,9.0
2015-04-15 00:00:00,8.0,1.0
2015-04-15 01:00:00,10.0,1.0
2015-04-15 02:00:00,11.0,1.0
2015-04-15 03:00:00,11.0,1.0
2015-04-15 04:00:00,11.0,1.0
2015-04-15 05:00:00,10.0,6.0
2015-04-15 06:00:00,12.0,9.0
2015-04-15 07:00:00,14.0,20.0
2015-04-15 08:00:00,47.0,87.0
2015-04-15 09:00:00,92.0,91.0
2015-04-15 10:00:00,84.0,60.0
2015-04-15 11:00:00,56.0,49.0
2015-04-15 12:00:00,53.0,37.0
2015-04-15 13:00:00,59.0,34.0
2015-04-15 14:00:00,44.0,18.0
2015-04-15 15:00:00,34.0,15.0
2015-04-15 16:00:00,45.0,35.0
2015-04-15 17:00:00,30.0,77.0
2015-04-15 18:00:00,62.0,93.0
