,class_code,description,level,level_2,level_3,level_4
3,A01B,Soil working in agriculture or forestry,5,Human necessities,Agriculture,Agriculture
4,A01C,Planting,5,Human necessities,Agriculture,Agriculture
5,A01D,Harvesting,5,Human necessities,Agriculture,Agriculture
6,A01F,Processing of harvested produce,5,Human necessities,Agriculture,Agriculture
7,A01G,Horticulture,5,Human necessities,Agriculture,Agriculture
8,A01H,New plants or processes for obtaining them,5,Human necessities,Agriculture,Agriculture
9,A01J,Manufacture of dairy products ,5,Human necessities,Agriculture,Agriculture
10,A01K,Animal husbandry,5,Human necessities,Agriculture,Agriculture
11,A01L,Shoeing of animals ,5,Human necessities,Agriculture,Agriculture
12,A01M,Catching or trapping of animals ,5,Human necessities,Agriculture,Agriculture
13,A01N,Preservation of bodies of humans or animals or plants or parts thereof,5,Human necessities,Agriculture,Agriculture
16,A21B,Machines or equipment for baking ,5,Human necessities,Foodstuffs,Baking
17,A21C,Machines or equipment for making or processing doughs,5,Human necessities,Foodstuffs,Baking
18,A21D,"Treatment, e.g. preservation, of flour or dough, e.g. by addition of materials",5,Human necessities,Foodstuffs,Baking
20,A22B,Slaughtering,5,Human necessities,Foodstuffs,Butchering
21,A22C,"Processing meat, poultry, or fish ",5,Human necessities,Foodstuffs,Butchering
23,A23B,"Preserving, e.g. by canning, meat, fish, eggs, fruit, vegetables, edible seeds",5,Human necessities,Foodstuffs,Foods or foodstuffs
24,A23C,"Dairy products, e.g. milk, butter, cheese",5,Human necessities,Foodstuffs,Foods or foodstuffs
25,A23D,"Edible oils of fats, e.g. margarines, shortenings, cooking oils ",5,Human necessities,Foodstuffs,Foods or foodstuffs
26,A23F,Coffee,5,Human necessities,Foodstuffs,Foods or foodstuffs
27,A23G,Cocoa,5,Human necessities,Foodstuffs,Foods or foodstuffs
28,A23J,Protein compositions for foodstuffs,5,Human necessities,Foodstuffs,Foods or foodstuffs
29,A23K,Fodder,5,Human necessities,Foodstuffs,Foods or foodstuffs
30,A23L,"Foods, foodstuffs, or non-alcoholic beverages, not covered by subclasses ",5,Human necessities,Foodstuffs,Foods or foodstuffs
31,A23N,"Machines or apparatus for treating harvested fruit, vegetables or flower bulbs in bulk, not otherwise provided for",5,Human necessities,Foodstuffs,Foods or foodstuffs
32,A23P,"Shaping or working of foodstuffs, not fully covered by a single other subclass ",5,Human necessities,Foodstuffs,Foods or foodstuffs
33,A23V,"Indexing scheme relating to foods, foodstuffs or non-alcoholic beverages",5,Human necessities,Foodstuffs,Foods or foodstuffs
34,A23Y,Indexing scheme relating to lactic or propionic acid bacteria used in foodstuffs or food preparation,5,Human necessities,Foodstuffs,Foods or foodstuffs
36,A24B,Manufacture or preparation of tobacco for smoking or chewing,5,Human necessities,Foodstuffs,Tobacco
37,A24C,Machines for making cigars or cigarettes,5,Human necessities,Foodstuffs,Tobacco
38,A24D,Cigars,5,Human necessities,Foodstuffs,Tobacco
39,A24F,Match boxes ,5,Human necessities,Foodstuffs,Tobacco
42,A41B,Shirts,5,Human necessities,Personal or domestic articles,Wearing apparel
43,A41C,Corsets,5,Human necessities,Personal or domestic articles,Wearing apparel
44,A41D,Outerwear,5,Human necessities,Personal or domestic articles,Wearing apparel
45,A41F,Garment fastenings,5,Human necessities,Personal or domestic articles,Wearing apparel
46,A41G,Artificial flowers,5,Human necessities,Personal or domestic articles,Wearing apparel
47,A41H,"Appliances or methods for making clothes, e.g. for dress-making, for tailoring, not otherwise provided for ",5,Human necessities,Personal or domestic articles,Wearing apparel
49,A42B,Hats,5,Human necessities,Personal or domestic articles,Headwear
50,A42C,Manufacturing or trimming hats or other head coverings,5,Human necessities,Personal or domestic articles,Headwear
52,A43B,Characteristic features of footwear,5,Human necessities,Personal or domestic articles,Footwear
53,A43C,Fastenings or attachments of footwear,5,Human necessities,Personal or domestic articles,Footwear
54,A43D,"Machines, tools, equipment or methods for manufacturing or repairing footwear",5,Human necessities,Personal or domestic articles,Footwear
56,A44B,"Buttons, pins, buckles, slide fasteners, or the like ",5,Human necessities,Personal or domestic articles,Haberdashery
57,A44C,Jewellery,5,Human necessities,Personal or domestic articles,Haberdashery
58,A44D,"Indexing scheme relating to buttons, pins, buckles or slide fasteners, and to jewellery, bracelets or other personal adornments",5,Human necessities,Personal or domestic articles,Haberdashery
60,A45B,Walking sticks,5,Human necessities,Personal or domestic articles,Hand or travelling articles
61,A45C,Purses,5,Human necessities,Personal or domestic articles,Hand or travelling articles
62,A45D,Hairdressing or shaving equipment,5,Human necessities,Personal or domestic articles,Hand or travelling articles
63,A45F,Travelling or camp equipment,5,Human necessities,Personal or domestic articles,Hand or travelling articles
65,A46B,Brushes ,5,Human necessities,Personal or domestic articles,Brushware
66,A46D,Manufacture of brushes,5,Human necessities,Personal or domestic articles,Brushware
68,A47B,Tables,5,Human necessities,Personal or domestic articles,Furniture 
69,A47C,Chairs ,5,Human necessities,Personal or domestic articles,Furniture 
70,A47D,Furniture specially adapted for children ,5,Human necessities,Personal or domestic articles,Furniture 
71,A47F,"Special furniture, fittings, or accessories for shops, storehouses, bars, restaurants or the like",5,Human necessities,Personal or domestic articles,Furniture 
72,A47G,Household or table equipment ,5,Human necessities,Personal or domestic articles,Furniture 
