index,class_code,description,level,level_2,level_3,level_4,level_5
3,A01B,SOIL WORKING IN AGRICULTURE OR FORESTRY,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,SOIL WORKING IN AGRICULTURE OR FORESTRY
4,A01C,PLANTING,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,PLANTING
5,A01D,HARVESTING,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,HARVESTING
6,A01F,PROCESSING OF HARVESTED PRODUCE,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,PROCESSING OF HARVESTED PRODUCE
7,A01G,HORTICULTURE,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,HORTICULTURE
8,A01H,NEW PLANTS OR PROCESSES FOR OBTAINING THEM,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,NEW PLANTS OR PROCESSES FOR OBTAINING THEM
9,A01J,MANUFACTURE OF DAIRY PRODUCTS ,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,MANUFACTURE OF DAIRY PRODUCTS 
10,A01K,ANIMAL HUSBANDRY,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,ANIMAL HUSBANDRY
11,A01L,SHOEING OF ANIMALS ,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,SHOEING OF ANIMALS 
12,A01M,CATCHING OR TRAPPING OF ANIMALS ,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,CATCHING OR TRAPPING OF ANIMALS 
13,A01N,PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF,5,HUMAN NECESSITIES,Agriculture,AGRICULTURE,PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF
16,A21B,MACHINES OR EQUIPMENT FOR BAKING ,5,HUMAN NECESSITIES,Foodstuffs,BAKING,MACHINES OR EQUIPMENT FOR BAKING 
17,A21C,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS,5,HUMAN NECESSITIES,Foodstuffs,BAKING,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS
18,A21D,"TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH, e.g. BY ADDITION OF MATERIALS",5,HUMAN NECESSITIES,Foodstuffs,BAKING,"TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH, e.g. BY ADDITION OF MATERIALS"
