,uid,date,name,classification,class_primary,class_secondary,group,category,class_code,description,level,level_2,level_3,level_4,level_5,size
0,D0724816,20150324,Reversible half bowtie,A41D 25/02,A41D,25/02,A,41,A41D,OUTERWEAR,5,HUMAN NECESSITIES,Personal or domestic articles,WEARING APPAREL,OUTERWEAR,1
1,8984666,20150324,Protective outer garment apparatus with viewing window for handheld items,A41D 27/205,A41D,27/205,A,41,A41D,OUTERWEAR,5,HUMAN NECESSITIES,Personal or domestic articles,WEARING APPAREL,OUTERWEAR,1
2,8984668,20150324,Body shaping fit system,A41D 1/06,A41D,6-Jan,A,41,A41D,OUTERWEAR,5,HUMAN NECESSITIES,Personal or domestic articles,WEARING APPAREL,OUTERWEAR,1
3,8986798,20150324,Material for attenuating impact energy,A41D 13/00,A41D,13/00,A,41,A41D,OUTERWEAR,5,HUMAN NECESSITIES,Personal or domestic articles,WEARING APPAREL,OUTERWEAR,1
4,8986810,20150324,Trauma reduction without ballistic performance reduction,A41D 13/00,A41D,13/00,A,41,A41D,OUTERWEAR,5,HUMAN NECESSITIES,Personal or domestic articles,WEARING APPAREL,OUTERWEAR,1
5,D0724817,20150324,Brassiere,A41C 3/00,A41C,Mar-00,A,41,A41C,CORSETS,5,HUMAN NECESSITIES,Personal or domestic articles,WEARING APPAREL,CORSETS,1
6,D0724818,20150324,Lower body garment gusset panel with lips shape,A41B 9/00,A41B,Sep-00,A,41,A41B,SHIRTS,5,HUMAN NECESSITIES,Personal or domestic articles,WEARING APPAREL,SHIRTS,1
7,D0724819,20150324,Lower body garment gusset panel with butterfly shape,A41B 9/00,A41B,Sep-00,A,41,A41B,SHIRTS,5,HUMAN NECESSITIES,Personal or domestic articles,WEARING APPAREL,SHIRTS,1
8,D0724824,20150324,Slipper,A41B 11/00,A41B,Nov-00,A,41,A41B,SHIRTS,5,HUMAN NECESSITIES,Personal or domestic articles,WEARING APPAREL,SHIRTS,1
9,8984669,20150324,Hosiery with padded soles,A41B 11/007,A41B,11/007,A,41,A41B,SHIRTS,5,HUMAN NECESSITIES,Personal or domestic articles,WEARING APPAREL,SHIRTS,1
10,D0724823,20150324,Sandal,A43B 23/00,A43B,23/00,A,43,A43B,CHARACTERISTIC FEATURES OF FOOTWEAR,5,HUMAN NECESSITIES,Personal or domestic articles,FOOTWEAR,CHARACTERISTIC FEATURES OF FOOTWEAR,1
11,8984694,20150324,Debris inhibitor for shoes and methods for making same,A43B 3/00,A43B,Mar-00,A,43,A43B,CHARACTERISTIC FEATURES OF FOOTWEAR,5,HUMAN NECESSITIES,Personal or domestic articles,FOOTWEAR,CHARACTERISTIC FEATURES OF FOOTWEAR,1
12,8984769,20150324,Shoe bottom having interspersed materials,A43B 13/122,A43B,13/122,A,43,A43B,CHARACTERISTIC FEATURES OF FOOTWEAR,5,HUMAN NECESSITIES,Personal or domestic articles,FOOTWEAR,CHARACTERISTIC FEATURES OF FOOTWEAR,1
13,8984771,20150324,Cushioning sole for footwear,A43B 13/18,A43B,13/18,A,43,A43B,CHARACTERISTIC FEATURES OF FOOTWEAR,5,HUMAN NECESSITIES,Personal or domestic articles,FOOTWEAR,CHARACTERISTIC FEATURES OF FOOTWEAR,1
14,8984772,20150324,Footwear with shock adsorber,A43B 5/145,A43B,5/145,A,43,A43B,CHARACTERISTIC FEATURES OF FOOTWEAR,5,HUMAN NECESSITIES,Personal or domestic articles,FOOTWEAR,CHARACTERISTIC FEATURES OF FOOTWEAR,1
15,8984773,20150324,Footwear outsole,A43B 1/0009,A43B,1/0009,A,43,A43B,CHARACTERISTIC FEATURES OF FOOTWEAR,5,HUMAN NECESSITIES,Personal or domestic articles,FOOTWEAR,CHARACTERISTIC FEATURES OF FOOTWEAR,1
16,8984776,20150324,Polyurethane injected boot assembly and associated manufacturing method,A43B 1/10,A43B,10-Jan,A,43,A43B,CHARACTERISTIC FEATURES OF FOOTWEAR,5,HUMAN NECESSITIES,Personal or domestic articles,FOOTWEAR,CHARACTERISTIC FEATURES OF FOOTWEAR,1
17,D0724833,20150324,Keyfob,E05B 19/00,E05B,19/00,E,5,E05B,LOCKS,5,FIXED CONSTRUCTIONS,Building,LOCKS,LOCKS,1
18,D0724834,20150324,Keyfob,E05B 19/00,E05B,19/00,E,5,E05B,LOCKS,5,FIXED CONSTRUCTIONS,Building,LOCKS,LOCKS,1
19,8985644,20150324,Barrier release mechanism,E05B 1/02,E05B,2-Jan,E,5,E05B,LOCKS,5,FIXED CONSTRUCTIONS,Building,LOCKS,LOCKS,1
20,8985646,20150324,Pressure vessel safety lock apparatus,E05B 51/02,E05B,51/02,E,5,E05B,LOCKS,5,FIXED CONSTRUCTIONS,Building,LOCKS,LOCKS,1
21,8988186,20150324,,E05B 39/00,E05B,39/00,E,5,E05B,LOCKS,5,FIXED CONSTRUCTIONS,Building,LOCKS,LOCKS,1
22,8988189,20150324,Method for controlling smart key system for door lock,E05B 77/14,E05B,77/14,E,5,E05B,LOCKS,5,FIXED CONSTRUCTIONS,Building,LOCKS,LOCKS,1
23,D0724835,20150324,Smart phone case,A45F 5/00,A45F,May-00,A,45,A45F,TRAVELLING OR CAMP EQUIPMENT,5,HUMAN NECESSITIES,Personal or domestic articles,HAND OR TRAVELLING ARTICLES,TRAVELLING OR CAMP EQUIPMENT,1
